path,SMTInterpol,,Yices2,,Z3alpha,,cvc5,
,result,runtime,result,runtime,result,runtime,result,runtime
QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll-O0.smt2,0,3.802450930001214,1,0.2635565740056336,1,0.48913326603360474,1,1.5032939580269158
QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2_fixed__term_unfeasibility_4_0.smt2,0,1.021507277037017,1,0.3083293850068003,1,18.766424898058176,1,4.277250832179561
QF_NIA/AProVE/aproveSMT1870041707088237226.smt2,0,0.42177866701968014,1,0.22035161312669516,1,1.0932340549770743,1,10.303704957012087
QF_NIA/AProVE/aproveSMT8920493051526265856.smt2,0,1.082077443948947,0,1201.2324813609011,1,10.657095975941047,1,436.42093447991647
QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-accepted-fail.t2_fixed__p15861_safety_0.smt2,0,0.5765768039273098,0,1201.2452734820545,0,1201.7214655431453,0,1201.7171479780227
QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p21131_safety_0.smt2,0,0.5403089959872887,1,0.27015585382469,1,0.4919884700793773,1,0.33425336494110525
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__NarrowKonv.c__p24579_edge_closing_0.smt2,0,0.5762053600046784,1,1.7363003939390182,1,2.5139136009383947,1,420.7650211718865
QF_NIA/20170427-VeryMax/ITS/From_T2__tqli.c.i.tqli.pl.t2.nor.t2.rlgfixed.t2__p25106_edge_closing_0.smt2,0,1.5064875369425863,0,1201.404954507947,0,1201.7175701139495,0,1202.2499092379585
QF_NIA/20170427-VeryMax/ITS/From_T2__n-12.t2__p3468_safety_0.smt2,0,0.5628369459882379,0,1201.2277322988957,0,1201.7143595251255,0,1201.745328893885
QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2_fixed__p1129_edge_closing_0.smt2,0,1.4302890819963068,0,1201.2630517289508,0,1201.721852071816,0,1201.7181809679605
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31796_safety_0.smt2,0,0.7618780069751665,1,0.2595179150812328,1,0.9317373069934547,1,426.2976069999859
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5895_safety_0.smt2,0,0.8869624260114506,1,0.7881905629765242,1,2.561088287970051,0,1201.7448771949857
QF_NIA/AProVE/aproveSMT3541696229928852199.smt2,0,0.4630367720965296,1,0.26922717387788,1,1.1426922450773418,1,0.32995412894524634
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30113_safety_0.smt2,0,0.7152908720308915,0,1201.367339718854,1,1.1339662990067154,1,3.8650900770444423
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAll.jar-obl-11__p9580_terminationG_0.smt2,0,1.7282376970397308,1,0.7333116778172553,1,9.886074560228735,0,895.0473819228355
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5633_safety_0.smt2,0,0.8270269220229238,0,1201.2200539419428,0,1201.7206635558978,0,1201.7246510770638
