logic,feature_source,training_time_seconds,model_file,perf_csv,feature_csv
qf_lra,features_embeddings,0.8192,qf_lra_features_embeddings_model.joblib,qf_lra_train.csv,qf_lra_feat+emb.csv
qf_nra,embeddings,2.3254,qf_nra_embeddings_model.joblib,qf_nra_train.csv,qf_nra_description_embeddings.csv
qf_nra,embeddings_combined,2.3481,qf_nra_embeddings_combined_model.joblib,qf_nra_train.csv,qf_nra_description_with_features_embeddings.csv
qf_nra,features,0.8769,qf_nra_features_model.joblib,qf_nra_train.csv,qf_nra_features_filtered.csv
qf_nra,features_embeddings,2.3461,qf_nra_features_embeddings_model.joblib,qf_nra_train.csv,qf_nra_feat+emb.csv
qf_slia,embeddings,122.6775,qf_slia_embeddings_model.joblib,qf_slia_train.csv,qf_slia_description_embeddings.csv
qf_slia,embeddings_combined,148.5333,qf_slia_embeddings_combined_model.joblib,qf_slia_train.csv,qf_slia_description_with_features_embeddings.csv
qf_slia,features,28.2622,qf_slia_features_model.joblib,qf_slia_train.csv,qf_slia_features_filtered.csv
qf_slia,features_embeddings,183.8574,qf_slia_features_embeddings_model.joblib,qf_slia_train.csv,qf_slia_feat+emb.csv
uf,embeddings,1.7303,uf_embeddings_model.joblib,uf_train.csv,uf_description_embeddings.csv
uf,embeddings_combined,1.7345,uf_embeddings_combined_model.joblib,uf_train.csv,uf_description_with_features_embeddings.csv
uf,features,0.7920,uf_features_model.joblib,uf_train.csv,uf_features_filtered.csv
uf,features_embeddings,1.4351,uf_features_embeddings_model.joblib,uf_train.csv,uf_feat+emb.csv
abv,embeddings,1.1476,abv_embeddings_model.joblib,abv_train.csv,abv_description_embeddings.csv
abv,embeddings_combined,1.1361,abv_embeddings_combined_model.joblib,abv_train.csv,abv_description_with_features_embeddings.csv
abv,features,0.6053,abv_features_model.joblib,abv_train.csv,abv_features_filtered.csv
abv,features_embeddings,1.0215,abv_features_embeddings_model.joblib,abv_train.csv,abv_feat+emb.csv
alia,embeddings,0.9090,alia_embeddings_model.joblib,alia_train.csv,alia_description_embeddings.csv
alia,embeddings_combined,0.9311,alia_embeddings_combined_model.joblib,alia_train.csv,alia_description_with_features_embeddings.csv
alia,features,0.5757,alia_features_model.joblib,alia_train.csv,alia_features_filtered.csv
alia,features_embeddings,0.8525,alia_features_embeddings_model.joblib,alia_train.csv,alia_feat+emb.csv
bv,embeddings,0.9170,bv_embeddings_model.joblib,bv_train.csv,bv_description_embeddings.csv
